NO,GAP,TIME,RACE,TIRE,LAP,STINT_LAP
5,0,1:32.868,hungary2015,Soft,0.0,0.0
7,1.332 ,1:34.200,hungary2015,Soft,0.0,0.0
6,3.110 ,1:35.978,hungary2015,Soft,0.0,0.0
77,4.414 ,1:37.282,hungary2015,Soft,0.0,0.0
26,5.615 ,1:38.483,hungary2015,Soft,0.0,0.0
27,5.901 ,1:38.769,hungary2015,Soft,0.0,0.0
3,6.325 ,1:39.193,hungary2015,Soft,0.0,0.0
11,6.915 ,1:39.783,hungary2015,Soft,0.0,0.0
19,7.907 ,1:40.775,hungary2015,Soft,0.0,0.0
44,8.767 ,1:41.635,hungary2015,Soft,0.0,0.0
55,9.264 ,1:42.132,hungary2015,Soft,0.0,0.0
14,9.824 ,1:42.692,hungary2015,Soft,0.0,0.0
33,10.218 ,1:43.086,hungary2015,Soft,0.0,0.0
22,10.599 ,1:43.467,hungary2015,Soft,0.0,0.0
13,10.877 ,1:43.745,hungary2015,Medium,0.0,0.0
8,12.506 ,1:45.374,hungary2015,Soft,0.0,0.0
98,12.574 ,1:45.442,hungary2015,Soft,0.0,0.0
9,12.713 ,1:45.581,hungary2015,Soft,0.0,0.0
12,13.057 ,1:45.925,hungary2015,Soft,0.0,0.0
28,14.167 ,1:47.035,hungary2015,Soft,0.0,0.0
5,0,1:28.820,hungary2015,Soft,1.0,1.0
7,1.599 ,1:29.087,hungary2015,Soft,1.0,1.0
6,3.789 ,1:29.499,hungary2015,Soft,1.0,1.0
77,6.158 ,1:30.564,hungary2015,Soft,1.0,1.0
27,7.303 ,1:30.222,hungary2015,Soft,1.0,1.0
26,8.451 ,1:31.656,hungary2015,Soft,1.0,1.0
3,8.887 ,1:31.382,hungary2015,Soft,1.0,1.0
11,9.990 ,1:31.895,hungary2015,Soft,1.0,1.0
19,10.944 ,1:31.857,hungary2015,Soft,1.0,1.0
44,11.292 ,1:31.345,hungary2015,Soft,1.0,1.0
55,12.088 ,1:31.644,hungary2015,Soft,1.0,1.0
14,13.142 ,1:32.138,hungary2015,Soft,1.0,1.0
33,13.945 ,1:32.547,hungary2015,Soft,1.0,1.0
22,14.592 ,1:32.813,hungary2015,Soft,1.0,1.0
13,15.299 ,1:33.242,hungary2015,Medium,1.0,1.0
8,15.917 ,1:32.231,hungary2015,Soft,1.0,1.0
9,16.758 ,1:32.865,hungary2015,Soft,1.0,1.0
12,17.436 ,1:33.199,hungary2015,Soft,1.0,1.0
98,18.457 ,1:34.703,hungary2015,Soft,1.0,1.0
28,20.487 ,1:35.140,hungary2015,Soft,1.0,1.0
5,0,1:28.664,hungary2015,Soft,2.0,2.0
7,1.666 ,1:28.731,hungary2015,Soft,2.0,2.0
6,3.933 ,1:28.808,hungary2015,Soft,2.0,2.0
77,7.290 ,1:29.796,hungary2015,Soft,2.0,2.0
27,8.768 ,1:30.129,hungary2015,Soft,2.0,2.0
26,9.891 ,1:30.104,hungary2015,Soft,2.0,2.0
3,10.556 ,1:30.333,hungary2015,Soft,2.0,2.0
11,11.931 ,1:30.605,hungary2015,Soft,2.0,2.0
19,13.014 ,1:30.734,hungary2015,Soft,2.0,2.0
44,13.489 ,1:30.861,hungary2015,Soft,2.0,2.0
55,14.421 ,1:30.997,hungary2015,Soft,2.0,2.0
14,15.434 ,1:30.956,hungary2015,Soft,2.0,2.0
33,16.028 ,1:30.747,hungary2015,Soft,2.0,2.0
22,17.327 ,1:31.399,hungary2015,Soft,2.0,2.0
13,18.311 ,1:31.676,hungary2015,Medium,2.0,2.0
8,18.710 ,1:31.457,hungary2015,Soft,2.0,2.0
9,19.863 ,1:31.769,hungary2015,Soft,2.0,2.0
12,21.112 ,1:32.340,hungary2015,Soft,2.0,2.0
98,22.763 ,1:32.970,hungary2015,Soft,2.0,2.0
28,25.178 ,1:33.355,hungary2015,Soft,2.0,2.0
5,0,1:28.067,hungary2015,Soft,3.0,3.0
7,1.854 ,1:28.255,hungary2015,Soft,3.0,3.0
6,4.275 ,1:28.409,hungary2015,Soft,3.0,3.0
77,8.997 ,1:29.774,hungary2015,Soft,3.0,3.0
27,10.774 ,1:30.073,hungary2015,Soft,3.0,3.0
