NO,GAP,TIME,LAP,TIRE,TRACK,YEAR,RACE,SAFETY,STINT_LAP
3,6.860,103.776,1,Super,australia,2016,1,0,1
3,9.466,94.27,2,Super,australia,2016,1,0,2
3,11.249,93.95,3,Super,australia,2016,1,0,3
3,13.149,93.914,4,Super,australia,2016,1,0,4
3,13.891,93.015,5,Super,australia,2016,1,0,5
3,14.270,92.583,6,Super,australia,2016,1,0,6
3,14.933,92.743,7,Super,australia,2016,1,0,7
3,15.636,92.992,8,Super,australia,2016,1,0,8
3,16.177,93.119,9,Super,australia,2016,1,0,9
3,16.461,92.855,10,Super,australia,2016,1,0,10
3,16.209,92.708,11,Super,australia,2016,1,0,11
3,PIT,110.524,12,Super,australia,2016,1,0,1
3,34.041,96.994,13,Super,australia,2016,1,0,1
3,33.544,93.552,14,Super,australia,2016,1,0,2
3,31.671,92.303,15,Super,australia,2016,1,0,3
3,20.344,92.52,16,Super,australia,2016,1,0,4
3,27.891,106.97,17,Super,australia,2016,1,1,5
3,PIT,190.57,18,Super,australia,2016,1,0,1
3,2.217,1198.834,19,Soft,australia,2016,1,0,1
3,4.094,92.401,20,Soft,australia,2016,1,0,2
3,5.190,91.47,21,Soft,australia,2016,1,0,3
3,6.428,91.445,22,Soft,australia,2016,1,0,4
3,7.755,91.278,23,Soft,australia,2016,1,0,5
3,9.023,91.453,24,Soft,australia,2016,1,0,6
3,9.821,91.517,25,Soft,australia,2016,1,0,7
3,9.902,91.845,26,Soft,australia,2016,1,0,8
3,10.402,91.954,27,Soft,australia,2016,1,0,9
3,10.789,91.894,28,Soft,australia,2016,1,0,10
3,11.024,92.044,29,Soft,australia,2016,1,0,11
3,11.246,92.225,30,Soft,australia,2016,1,0,12
3,11.483,92.465,31,Soft,australia,2016,1,0,13
3,11.792,92.536,32,Soft,australia,2016,1,0,14
3,11.416,92.419,33,Soft,australia,2016,1,0,15
3,10.612,92.133,34,Soft,australia,2016,1,0,16
3,8.447,91.918,35,Soft,australia,2016,1,0,17
3,8.403,91.938,36,Soft,australia,2016,1,0,18
3,8.591,91.943,37,Soft,australia,2016,1,0,19
3,9.045,92.122,38,Soft,australia,2016,1,0,20
3,9.172,92.264,39,Soft,australia,2016,1,0,21
3,9.640,92.119,40,Soft,australia,2016,1,0,22
3,9.989,92.855,41,Soft,australia,2016,1,0,23
3,PIT,111.355,42,Soft,australia,2016,1,0,1
3,36.233,97.426,43,Super,australia,2016,1,0,1
3,35.427,90.048,44,Super,australia,2016,1,0,2
3,35.753,91.138,45,Super,australia,2016,1,0,3
3,34.303,89.965,46,Super,australia,2016,1,0,4
3,32.547,89.466,47,Super,australia,2016,1,0,5
3,30.667,89.42,48,Super,australia,2016,1,0,6
3,27.853,88.997,49,Super,australia,2016,1,0,7
3,26.160,89.307,50,Super,australia,2016,1,0,8
3,25.756,90.299,51,Super,australia,2016,1,0,9
3,25.143,90.365,52,Super,australia,2016,1,0,10
3,23.720,90.39,53,Super,australia,2016,1,0,11
3,22.494,90.953,54,Super,australia,2016,1,0,12
3,21.920,91.776,55,Super,australia,2016,1,0,13
3,22.013,91.794,56,Super,australia,2016,1,0,14
3,24.330,94.766,57,Super,australia,2016,1,0,15
5,0,96.916,1,Super,australia,2016,1,0,16
5,0,91.664,2,Super,australia,2016,1,0,17
5,0,92.167,3,Super,australia,2016,1,0,18
5,0,92.014,4,Super,australia,2016,1,0,19
5,0,92.273,5,Super,australia,2016,1,0,20
5,0,92.204,6,Super,australia,2016,1,0,21
5,0,92.08,7,Super,australia,2016,1,0,22
5,0,92.289,8,Super,australia,2016,1,0,23
5,0,92.578,9,Super,australia,2016,1,0,24
5,0,92.571,10,Super,australia,2016,1,0,25
5,0,92.96,11,Super,australia,2016,1,0,26
5,0,93.014,12,Super,australia,2016,1,0,27
5,PIT,110.574,13,Super,australia,2016,1,0,1
5,15.457,95.604,14,Super,australia,2016,1,0,1
5,12.038,90.757,15,Super,australia,2016,1,0,2
5,0,91.809,16,Super,australia,2016,1,0,3
5,0,99.423,17,Super,australia,2016,1,1,4
5,PIT,201.551,18,Super,australia,2016,1,0,1
5,0,1213.527,19,Super,australia,2016,1,0,1
5,0,90.524,20,Super,australia,2016,1,0,2
